fid,tag,x,y,w,h,s,1,2,3
9,5,318.3048,196.57574,58.240356,47.9494,0.95,-1,-1,-1
9,6,278.903,170.30838,34.832153,27.874023,0.95,-1,-1,-1
9,7,159.58987,232.12085,98.59592,61.80591,0.95,-1,-1,-1
9,8,290.17432,161.44032,29.680054,17.272491,0.95,-1,-1,-1
9,9,429.64984,140.44897,88.061035,94.882935,0.95,-1,-1,-1
9,10,147.00746,171.82626,53.365387,48.109802,0.95,-1,-1,-1
9,11,307.46667,139.82703,25.763672,18.689209,0.95,-1,-1,-1
9,12,330.57446,255.7136,87.46704,73.74542,0.95,-1,-1,-1
9,14,332.4048,124.38276,23.833008,16.101555,0.95,-1,-1,-1
9,22,99.30507,145.54321,39.324066,32.027405,0.95,-1,-1,-1
9,23,159.37799,146.57257,41.60565,26.748474,0.95,-1,-1,-1
9,26,356.10797,146.10806,38.0,26.451416,0.95,-1,-1,-1
9,28,114.35338,169.11754,45.52954,30.882385,0.95,-1,-1,-1
10,1,466.94305,233.05453,64.33832,57.256836,0.95,-1,-1,-1
10,2,636.94336,263.40552,104.28955,72.908875,0.95,-1,-1,-1
10,3,246.83139,183.43245,50.57538,37.472717,0.95,-1,-1,-1
10,4,376.6312,162.16562,36.242493,32.592773,0.95,-1,-1,-1
10,5,320.78162,190.37086,58.934937,48.985016,0.95,-1,-1,-1
10,6,280.45618,166.82341,34.01709,28.219696,0.95,-1,-1,-1
10,7,173.27292,225.6098,92.41095,57.779846,0.95,-1,-1,-1
10,8,289.24667,157.4787,30.302063,16.057892,0.95,-1,-1,-1
10,9,429.4461,136.86275,81.533936,90.71738,0.95,-1,-1,-1
10,10,144.31142,171.32358,54.416412,48.7016,0.95,-1,-1,-1
10,11,307.3141,138.39764,24.996582,19.272583,0.95,-1,-1,-1
10,12,337.48877,247.50787,84.43408,69.35199,0.95,-1,-1,-1
10,14,330.17743,123.06811,22.92456,15.927437,0.95,-1,-1,-1
10,22,95.78882,146.91327,37.78839,31.434814,0.95,-1,-1,-1
10,23,153.77026,145.67725,42.078735,30.11728,0.95,-1,-1,-1
10,26,357.46698,143.90518,33.314453,27.67926,0.95,-1,-1,-1
10,28,105.11714,175.01944,45.404907,31.910095,0.95,-1,-1,-1
10,31,194.88016,408.17847,182.53094,118.58667,0.95,-1,-1,-1
11,1,467.92084,225.89337,61.697388,55.26465,0.95,-1,-1,-1
11,2,634.149,253.919,98.77356,71.79132,0.95,-1,-1,-1
11,3,251.43675,183.3433,48.377945,33.998077,0.95,-1,-1,-1
11,4,379.0972,158.75333,34.683594,31.016968,0.95,-1,-1,-1
11,5,323.29474,186.3736,56.728394,48.1474,0.95,-1,-1,-1
11,6,282.86084,166.28564,33.159607,27.053131,0.95,-1,-1,-1
11,7,182.18893,219.55835,89.089294,55.134583,0.95,-1,-1,-1
11,8,289.51126,155.38525,30.564026,14.982788,0.95,-1,-1,-1
11,9,429.42563,134.94365,75.14984,87.27576,0.95,-1,-1,-1
11,10,146.68115,171.13196,50.77466,48.920288,0.95,-1,-1,-1
11,11,307.9104,139.24118,24.07312,17.507019,0.95,-1,-1,-1
11,12,344.92554,241.58229,74.91284,66.033066,0.95,-1,-1,-1
11,14,328.76062,123.304276,22.63324,15.20401,0.95,-1,-1,-1
11,22,89.21716,148.03793,40.65918,30.52005,0.95,-1,-1,-1
11,23,149.87598,147.38785,40.749146,29.889404,0.95,-1,-1,-1
11,26,357.89862,146.30515,29.68335,25.086487,0.95,-1,-1,-1
11,28,96.04335,175.71596,50.767944,36.056793,0.95,-1,-1,-1
11,31,218.50851,376.27698,177.2063,153.47296,0.95,-1,-1,-1
12,1,470.09918,215.66406,59.586914,55.40802,0.95,-1,-1,-1
12,2,633.2886,251.36758,92.20532,67.58453,0.95,-1,-1,-1
12,3,256.27155,179.43439,46.282837,34.771606,0.95,-1,-1,-1
12,4,382.58063,155.63588,32.186523,29.824585,0.95,-1,-1,-1
12,5,329.21585,181.16562,52.08673,44.595337,0.95,-1,-1,-1
12,6,284.25934,165.49503,30.936401,27.33014,0.95,-1,-1,-1
12,7,195.43155,212.98618,82.79138,53.656555,0.95,-1,-1,-1
12,8,291.5636,153.32404,31.353394,15.295624,0.95,-1,-1,-1
12,9,430.8003,135.64775,68.85376,82.77118,0.95,-1,-1,-1
12,10,145.56622,172.39441,52.76825,46.994507,0.95,-1,-1,-1
12,11,305.4424,134.23486,24.4292,19.554321,0.95,-1,-1,-1
12,12,349.24664,231.11914,73.018555,65.75433,0.95,-1,-1,-1
12,14,328.30927,122.76898,21.897217,14.947998,0.95,-1,-1,-1
12,22,82.92383,152.46545,41.703583,28.82257,0.95,-1,-1,-1
12,23,145.24298,149.34972,38.80777,29.736176,0.95,-1,-1,-1
12,26,358.0347,142.20377,30.70221,26.352142,0.95,-1,-1,-1
12,28,85.53818,177.27194,58.2623,38.01367,0.95,-1,-1,-1
12,31,245.0788,350.8985,159.76135,149.28418,0.95,-1,-1,-1
12,36,-1.5294495,313.94284,110.880165,115.70471,0.95,-1,-1,-1
12,39,154.0003,134.11752,34.588135,16.882324,0.95,-1,-1,-1
13,1,470.08197,208.93735,60.315308,53.654205,0.95,-1,-1,-1
13,2,629.1378,248.04907,91.91016,65.54126,0.95,-1,-1,-1
13,3,260.53094,176.09753,45.559875,34.457275,0.95,-1,-1,-1
13,4,383.77878,153.2887,30.671143,30.10321,0.95,-1,-1,-1
13,5,333.76877,178.8182,47.200317,42.031006,0.95,-1,-1,-1
13,6,286.629,157.95274,32.191406,29.467865,0.95,-1,-1,-1
